prefix_ratio,prefix_percent,prefix_length,accuracy
0.1,10,50,0.6265151515151515
0.2,20,100,0.6568181818181819
0.3,30,150,0.6530303030303031
0.4,40,200,0.6583333333333333
0.5,50,250,0.6295454545454545
0.6,60,300,0.656060606060606
0.7,70,350,0.6575757575757576
0.8,80,400,0.6651515151515152
0.9,90,450,0.6795454545454546
1.0,100,500,0.6651515151515152
