prefix_ratio,prefix_percent,euclidean_accuracy,manhattan_accuracy,delta_manhattan_minus_euclidean
0.1,10,0.6265151515151515,0.6143939393939394,-0.012121212121212088
0.2,20,0.6568181818181819,0.6386363636363637,-0.018181818181818188
0.3,30,0.6530303030303031,0.6659090909090909,0.012878787878787823
0.4,40,0.6583333333333333,0.6628787878787878,0.004545454545454519
0.5,50,0.6295454545454545,0.6492424242424243,0.01969696969696977
0.6,60,0.656060606060606,0.6446969696969697,-0.011363636363636354
0.7,70,0.6575757575757576,0.6522727272727272,-0.005303030303030365
0.8,80,0.6651515151515152,0.6643939393939394,-0.0007575757575757347
0.9,90,0.6795454545454546,0.7,0.020454545454545392
1.0,100,0.6651515151515152,0.6840909090909091,0.018939393939393923
